,x1,x2,x3,x4,x5,x6,x7,x8,x9,y,x10,x11,x12,x13,x14,x15
0,-2.358078138,-1.29926037,-100.814266206,-0.312827016,-0.16314876,0.011753214,-14,42,-986,2,7.2486100139660845,10165.204348163286,10169.076803159147,0.12447825982900186,0.026755655928867396,0.09799887997879406
1,-2.436369804,-1.3343290260000003,-100.817427636,-0.189633516,-0.002346282,0.0016051740000000002,-17,41,-992,2,7.7163317714691075,10165.934149089724,10170.08961296194,0.03596637542974578,8.0816227938e-06,0.03596344697409253
2,-2.486669046,-1.3409173140000001,-100.83259821,0.000235002,0.199118538,0.008477802,-22,42,-1001,2,7.981582187319524,10169.01092102228,10173.39638472363,0.03964824740119745,0.03972006530200865,7.192835269120799e-05
3,-2.478590238,-1.30917303,-100.84917068400001,0.178449822,0.30160275,0.015365526000000001,-23,42,-1008,2,7.857343590388276,10172.269161673046,10176.698637218477,0.12280855777939417,0.09120031819681916,0.03208043836108836
4,-2.44975716,-1.280561238,-100.870320798,0.183122346,0.231046938,-0.006527196,-20,42,-1007,2,7.641147227239358,10176.461454975699,10180.8229280344,0.08691648116371956,0.05342529184679826,0.03357639789216613
5,-2.667383778,-1.274550858,-100.875978468,-7.4299304159999995,0.061318866,0.37279944600000003,-17,33,-999,2,8.73941610876609,10177.587511766027,10183.077968095537,55.207625989929454,0.1427394302654329,55.342845413539834
6,-14.16307926,-1.182800646,-100.34418583200001,-76.208410266,0.381228288,3.214353246,-25,89,-960,2,201.99183149322016,10070.35464765513,10269.548444411994,5807.867130278546,10.477401797642148,5818.053862061045
7,-35.34999132000001,-0.90115059,-100.317800046,-88.314278124,2.405827266,-2.72062719,-30,180,-860,2,1250.4339587099332,10064.473078455096,11313.282892393314,7805.199725397054,13.189817140796332,7806.813532870192
8,-52.92437196,-1.286836602,-102.45099305999999,-58.461552858000005,7.971680760000001,-10.85870862,7,189,-906,2,2802.6450958006812,10497.861927420414,13297.1951263406,3481.3008567080824,181.4592470334165,3535.664715462791
9,-62.532684804,-2.180192916,-106.744043826,-27.168264984,17.045334576,-14.17986363,87,161,-1222,2,3915.0899099473886,11399.044133477984,15304.62756112342,1028.6580530486215,491.6119633731778,939.1831548062373
10,0.382006134,14.950078728000001,183.57974052600002,0.071954478,0.031393956,0.068128206,244,0,-969,1,223.65078265981174,33925.02598556689,33701.667060279906,0.00616302737758242,0.005627032926108371,0.00981889935703092
11,0.0035763720000000004,14.847865104,-101.18298769200001,-0.007964862,0.058560354,0.057848286000000006,244,0,-970,0,220.4591109370176,10458.456096426007,10237.997011069863,0.0034927540872843606,0.006775739253743113,0.003409863219816841
12,-66.039183138,-2.76574686,-113.125405314,-8.326473534000002,26.24025285,-14.915213586,169,144,-1676,2,4368.8230652279035,12805.006683150381,17158.531036991084,757.8810311443357,911.0144659479322,291.79375782840145
13,-66.44240856,-2.760569976,-121.08630180600001,-0.43952409000000003,31.820862294,-14.679693282,198,136,-2047,2,4422.214401846354,14669.513231646113,19076.486140307683,1012.7604585594014,1228.060671987307,215.6865762792863
14,-65.84391117,-2.261827512,-129.702529908,1.418805756,33.476046324,-14.142419994,190,134,-2229,2,4340.536501856891,16827.862128229677,21158.166902698486,1122.6586872598527,1320.653720773285,202.02105305994974
15,-65.18933057999999,-1.5049521600000002,-138.35786819400002,1.575793104,33.298655748,-13.734662532,161,136,-2281,2,4251.9137024724105,19145.16457219217,23392.548512656802,1111.2835985304273,1297.441429491738,191.1240787745386
16,-64.580562114,-0.639819114,-146.852316858,2.314839588,32.581869366,-13.439395128000001,119,138,-2281,2,4171.058371458853,21566.01233506107,25736.251969522644,1066.9366937012612,1242.1955527895993,185.97582372468216
17,-63.801205158,0.25482759600000005,-155.096726418,4.00826901,31.408578156,-13.203224838,78,139,-2250,2,4070.658716716889,24055.05948268362,28125.588325193145,1002.5650022380868,1160.8239279043405,190.39136657930652
18,-62.64206170800001,1.14891663,-163.009114266,6.327207684,29.747394918,-12.993654012,41,140,-2190,2,3925.347904451571,26573.29134320854,30495.99922881473,924.941061483921,1053.742548991016,208.86860166003234
19,-61.001965997999996,2.021891622,-170.457959178,8.211691080000001,27.435650826000003,-12.720152736000001,3,136,-2096,2,3725.327901352261,29060.003892859833,32777.155702749864,820.1468066395462,914.5172218733629,229.2341560205199
20,-61.68413400600001,2.852285874,-177.291655542,-8.810033796,25.161682962,-11.77260339,-38,144,-1951,2,3813.0679227771866,31440.4666595302,35237.26351289335,710.7269849668633,771.7044800584406,216.21088606490167
21,0.381009636,14.949216840000002,183.58467579,0.06527988,0.03211416,0.071755602,244,0,-969,1,223.62425247206448,33926.81226904875,33703.47835326214,0.005292782005320001,0.006180185690888004,0.009410329151196804
22,-64.70216989800001,3.296380566,-183.94124508,-10.797588228,25.459987524,-12.660703362000001,-36,156,-1879,2,4197.236914345561,33845.24776641653,38020.75243109028,764.7988762636799,808.5043743427938,276.88132116200234
23,0.0066722940000000005,14.859960972,-101.170191762,0.005920038,0.066491304,0.066390636,244,0,-969,0,220.8184846088704,10456.226141249215,10235.40774567936,0.004456140357541861,0.008828810056104912,0.004442763398405941
24,-67.10956335,3.411678672,185.910959244,-5.901734682,28.164419532000004,-13.389590976000001,13,151,-1967,2,4515.333044388643,34574.52431838521,39066.57826005189,828.064999831225,972.515674079084,214.11161876130228
25,-68.353893756,3.537357822,178.08380126999998,-1.2543331439999998,31.122701166000006,-13.543448748,60,147,-2121,2,4684.767691967401,31726.35317513371,36386.095066379385,970.1958795042751,1152.047531857841,184.99835562583968
26,-68.75849962199999,3.780820818,169.720745088,1.558723188,32.957550288,-13.554235698,86,145,-2246,2,4742.025876326395,28819.425919283698,33532.86258349445,1088.6297389628578,1269.9174263429863,186.14692333374643
27,-68.743085862,4.118401854,161.10935211,2.9497931160000004,33.48922491,-13.478894232000002,91,144,-2303,2,4742.573087661335,25973.184571134992,30681.83519113427,1130.2294644997653,1303.2087747900073,190.38186914464393
28,-68.498618604,4.4892852,152.506957056,3.921784314,32.97635436,-13.366156518,80,144,-2299,2,4712.214432263194,23278.525632087567,27950.432701136884,1102.8203390818276,1266.0940869399649,194.03453226921036
29,-68.05064678400001,4.849817454,144.097709658,4.969646484,31.917672156000002,-13.247268498,59,144,-2255,2,4654.411257057854,20787.670658018393,25395.040456402,1043.4351820338313,1194.227918516001,200.18750883403675
30,-67.365632058,5.180472582,135.957555768,6.0754242540000005,30.598747728000003,-13.197679818000001,35,144,-2193,2,4564.965678746691,18511.29426658168,23022.585352982664,973.1941423878768,1110.4621151002298,211.08953244453602
31,-66.415028574,5.47851831,128.155503276,7.252356114,28.88879478,-13.09557885,10,144,-2111,2,4440.970183358242,16453.84718279785,20834.789040410084,887.1591330452285,1006.0566492575226,224.09085462084053
32,0.06840876600000001,15.069254634000002,-100.462596414,0.005426112,0.05093031,0.069180792,244,0,-970,0,227.0871149835962,10319.815713466578,10092.737958001513,0.002623339168132644,0.007379878458443364,0.004815424673183809
33,-65.158410072,5.719303788,120.779013636,8.505844476,26.752583382,-13.004667162,-14,143,-2005,2,4278.328838930342,14620.280570704506,18833.188537995986,788.0501078607623,884.8220856052637,241.47075824430084
34,-63.566915988000005,5.882577894,113.909146788,9.799060824,24.250277280000002,-12.946642938,-38,142,-1881,2,4075.357530904428,13009.898444649109,17016.04653019558,684.0975411893359,755.6915115209497,263.63715639651684
35,0.010929876,14.871943296,-101.156487462,0.011668284000000001,0.045525234,0.067252248,244,0,-969,0,221.17481686162873,10453.809653049202,10232.635075111952,0.0022086957822594114,0.00659541179180826,0.00465901371255816
36,-61.609239576,5.947417614,107.595412734,11.196285186,21.531368496,-12.828691902,-61,140,-1747,2,3831.0701774082822,11612.144617675127,15372.471242532774,588.9566312767844,628.1751652269817,289.93213788268343
37,-59.258726838,5.897573682000001,101.884846686,12.581269740000002,18.595646022,-12.694860396000001,-88,138,-1606,2,3546.3780817953207,10415.303359564346,13892.118690690428,504.0863992461642,506.95753144945377,319.44782874456905
38,-56.51634693,5.717689098,96.79128885,13.896821736,15.579838158000001,-12.49860585,-113,134,-1465,2,3226.7894389335083,9401.245565865522,12562.651067556253,435.85301139163494,398.94650522312713,349.3368025558163
39,-53.40482712000001,5.382840336,92.29636431,14.989903272,12.540311513999999,-12.286717596,-129,129,-1330,2,2881.050529799957,8547.593834927111,11370.69442456133,381.9566129720772,308.222842152017,375.66062938777236
40,-49.98986721,4.880613684,88.38430166399999,15.805699824000001,9.661071894,-11.950104834000001,-138,124,-1207,2,2522.8072136058813,7835.6051705654,10310.771604306385,343.15645706743044,236.14131568462696,392.62515246998385
41,-46.338050364000004,4.222696422,84.99367475400001,16.40373051,7.088591160000001,-11.529373524,-144,118,-1102,2,2165.0460766089727,7241.75591326111,9371.13965972534,319.33049927833497,183.17457848954234,402.008828500617
42,-42.515612838,3.442255632,82.037923338,16.790367365999998,4.9296176460000005,-10.986107292,-144,111,-1023,2,1819.4264588267463,6742.0699894476,8537.798200602276,306.2175664209923,144.99568356709014,402.6109897165733
43,0.378712182,14.948361216,183.58923912,0.07256265,0.039363414,0.046574700000000004,244,0,-970,1,223.59692596080822,33928.462223704555,33705.15214357733,0.006814816536757897,0.003718681041825396,0.0074345408551125015
44,-38.574324846,2.576266452,79.449577332,16.984443066,3.116899656,-10.334694384,-140,103,-966,2,1494.6156861564339,6318.8724870651495,7800.213875558182,298.18636972776847,116.52097147625408,395.2772142728767
45,-34.541552064,1.652048082,77.18233823999999,17.221657632000003,1.597973184,-9.582972228000001,-135,95,-921,2,1195.8480818552625,5959.842599059005,7150.232155183789,299.1390098906071,94.3868750194024,388.41884831644325
46,-30.423127410000003,0.714660174,75.188090802,17.420904636,0.475621146,-8.726659122,-125,87,-897,2,926.0774205693953,5653.759737614099,6578.815679854892,303.71413381112865,76.38079490610815,379.64249776819213
47,0.013667838,14.884125888,-101.143012044,-0.000413328,0.047234886,0.054031896,244,0,-969,0,221.5373902596274,10451.446088782563,10229.909072142525,0.0022313052954685796,0.005150580240787812,0.0029196166253904004
48,-26.208422184,-0.19710516,73.44202279800001,17.672712204,-0.440588592,-7.746338544,-112,77,-883,2,686.920243818882,5393.769563106052,6080.612106036737,312.518874952811,60.19987914566059,372.3305174836705
49,-21.949328184,-1.0564515,71.938004496,17.671113612,-1.0569763200000002,-6.67417422,-103,68,-878,2,482.889097500789,5176.192580638369,5656.849498595454,313.3854552292524,45.661800459953355,356.81285780712426
